* Measurement data measured by REW V5.20.8
* Source: ASIO hdspfire, Analog 1 (1)
* Format: 4M Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 13 juin 2022 14:11:59
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: on_0x1400_1_3 juin 13
* Smoothing: None
* Frequency Step: 0.36621094 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
151.611328 101.442 168.4281
151.977539 101.349 164.3033
152.343750 101.263 160.1704
152.709961 101.184 156.0000
153.076172 101.112 151.7751
153.442383 101.044 147.4971
153.808594 100.978 143.1794
154.174805 100.917 138.8372
154.541016 100.862 134.4758
154.907227 100.817 130.0884
155.273438 100.782 125.6599
155.639648 100.755 121.1772
156.005859 100.734 116.6379
156.372070 100.715 112.0533
156.738281 100.697 107.4470
157.104492 100.680 102.8464
157.470703 100.665 98.2747
157.836914 100.656 93.7413
158.203125 100.655 89.2413
158.569336 100.663 84.7589
158.935547 100.679 80.2781
159.301758 100.698 75.7939
159.667969 100.717 71.3196
160.034180 100.733 66.8828
160.400391 100.747 62.5166
160.766602 100.760 58.2456
161.132812 100.779 54.0752
161.499023 100.806 49.9905
161.865234 100.844 45.9645
162.231445 100.889 41.9719
162.597656 100.938 38.0015
162.963867 100.989 34.0603
163.330078 101.038 30.1683
163.696289 101.089 26.3455
164.062500 101.144 22.5989
164.428711 101.207 18.9155
164.794922 101.282 15.2633
165.161133 101.369 11.6017
165.527344 101.464 7.8940
165.893555 101.563 4.1165
166.259766 101.661 0.2603
166.625977 101.754 -3.6735
166.992188 101.837 -7.6793
167.358398 101.909 -11.7527
167.724609 101.968 -15.8901
168.090820 102.010 -20.0873
168.457031 102.032 -24.3348
168.823242 102.033 -28.6190
169.189453 102.011 -32.9231
169.555664 101.965 -37.2311
169.921875 101.894 -41.5302
170.288086 101.799 -45.8112
170.654297 101.678 -50.0652
171.020508 101.531 -54.2805
171.386719 101.357 -58.4396
171.752930 101.155 -62.5186
172.119141 100.927 -66.4915
172.485352 100.675 -70.3361
172.851562 100.404 -74.0391
173.217773 100.119 -77.5995
173.583984 99.821 -81.0251
173.950195 99.513 -84.3269
174.316406 99.197 -87.5112
174.682617 98.873 -90.5776
175.048828 98.545 -93.5240
175.415039 98.216 -96.3583
175.781250 97.892 -99.1075
176.147461 97.575 -101.8213
176.513672 97.265 -104.5593
176.879883 96.955 -107.3722
177.246094 96.636 -110.2856
177.612305 96.301 -113.2961
177.978516 95.942 -116.3817
178.344727 95.558 -119.5186
178.710938 95.147 -122.6947
179.077148 94.708 -125.9108
179.443359 94.236 -129.1721
179.809570 93.726 -132.4755
180.175781 93.174 -135.8032
180.541992 92.574 -139.1279
180.908203 91.925 -142.4259
181.274414 91.224 -145.6875
181.640625 90.469 -148.9192
182.006836 89.650 -152.1331
182.373047 88.756 -155.3290
182.739258 87.770 -158.4795
