* Measurement data measured by REW V5.20.8
* Source: ASIO hdspfire, Analog 1 (1)
* Format: 4M Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 13 juin 2022 14:11:20
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: off_0x1400_1_3 juin 13
* Smoothing: None
* Frequency Step: 0.36621094 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
173.583984 99.335 -84.7576
173.950195 99.011 -87.8341
174.316406 98.681 -90.7683
174.682617 98.349 -93.5647
175.048828 98.017 -96.2341
175.415039 97.690 -98.7996
175.781250 97.372 -101.2998
176.147461 97.062 -103.7853
176.513672 96.757 -106.3043
176.879883 96.451 -108.8900
177.246094 96.136 -111.5515
177.612305 95.806 -114.2787
177.978516 95.458 -117.0552
178.344727 95.090 -119.8704
178.710938 94.699 -122.7245
179.077148 94.281 -125.6195
179.443359 93.831 -128.5450
179.809570 93.342 -131.4683
180.175781 92.812 -134.3378
180.541992 92.242 -137.1033
180.908203 91.638 -139.7396
181.274414 91.006 -142.2649
181.640625 90.346 -144.7335
182.006836 89.649 -147.2068
182.373047 88.900 -149.7120
182.739258 88.077 -152.2157
183.105469 87.159 -154.6213
183.471680 86.132 -156.7920
183.837891 84.983 -158.5762
184.204102 83.695 -159.8104
184.570312 82.237 -160.2626
184.936523 80.559 -159.4661
185.302734 78.605 -156.3707
185.668945 76.403 -148.7395
186.035156 74.428 -133.1532
186.401367 73.978 -110.7999
186.767578 75.425 -93.1328
187.133789 77.424 -85.2904
187.500000 79.167 -84.1809
187.866211 80.504 -86.8646
188.232422 81.462 -91.7563
188.598633 82.098 -98.0533
188.964844 82.463 -105.3595
189.331055 82.598 -113.5106
189.697266 82.539 -122.4930
190.063477 82.318 -132.3995
190.429688 81.970 -143.3992
190.795898 81.544 -155.7008
191.162109 81.109 -169.4840
191.528320 80.765 175.2321
191.894531 80.627 158.7668
192.260742 80.781 141.8574
192.626953 81.236 125.4523
192.993164 81.922 110.3104
193.359375 82.734 96.7717
193.725586 83.577 84.8253
194.091797 84.387 74.2916
194.458008 85.126 64.9563
194.824219 85.777 56.6273
195.190430 86.335 49.1493
195.556641 86.798 42.4031
195.922852 87.169 36.3065
196.289062 87.452 30.8145
196.655273 87.652 25.9147
