* Measurement data measured by REW V5.20.8
* Source: ASIO hdspfire, Analog 1 (1)
* Format: 4M Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 13 juin 2022 14:16:22
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: off_0x1400_4_3 juin 13
* Smoothing: None
* Frequency Step: 0.36621094 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
161.132812 96.663 134.7031
161.499023 96.402 134.0701
161.865234 96.168 133.6982
162.231445 95.973 133.5591
162.597656 95.825 133.5996
162.963867 95.730 133.7506
163.330078 95.692 133.9380
163.696289 95.710 134.0980
164.062500 95.782 134.1816
164.428711 95.909 134.1458
164.794922 96.089 133.9359
165.161133 96.324 133.4741
165.527344 96.607 132.6687
165.893555 96.926 131.4404
166.259766 97.263 129.7471
166.625977 97.602 127.5941
166.992188 97.928 125.0234
167.358398 98.232 122.0945
167.724609 98.509 118.8672
168.090820 98.754 115.3928
168.457031 98.966 111.7156
168.823242 99.144 107.8768
169.189453 99.287 103.9191
169.555664 99.396 99.8839
169.921875 99.472 95.8074
170.288086 99.520 91.7141
170.654297 99.542 87.6157
171.020508 99.540 83.5128
171.386719 99.516 79.4031
171.752930 99.468 75.2894
172.119141 99.394 71.1841
172.485352 99.293 67.1099
172.851562 99.166 63.0935
173.217773 99.015 59.1589
173.583984 98.843 55.3202
173.950195 98.653 51.5793
174.316406 98.447 47.9309
174.682617 98.224 44.3687
175.048828 97.985 40.8939
175.415039 97.726 37.5190
175.781250 97.449 34.2655
176.147461 97.154 31.1560
176.513672 96.844 28.2053
176.879883 96.524 25.4139
177.246094 96.195 22.7694
177.612305 95.858 20.2549
177.978516 95.509 17.8607
178.344727 95.143 15.5962
178.710938 94.757 13.4922
179.077148 94.348 11.5970
179.443359 93.919 9.9656
179.809570 93.472 8.6487
180.175781 93.012 7.6895
180.541992 92.545 7.1282
180.908203 92.076 7.0137
181.274414 91.613 7.4119
181.640625 91.170 8.4004
182.006836 90.771 10.0433
182.373047 90.445 12.3517
182.739258 90.231 15.2423
183.105469 90.159 18.5214
183.471680 90.249 21.9044
183.837891 90.503 25.0687
184.204102 90.902 27.7162
184.570312 91.415 29.6221
184.936523 92.004 30.6570
185.302734 92.628 30.7849
185.668945 93.254 30.0432
186.035156 93.853 28.5184
186.401367 94.403 26.3245
186.767578 94.890 23.5898
187.133789 95.302 20.4490
187.500000 95.635 17.0371
187.866211 95.889 13.4824
188.232422 96.068 9.8993
188.598633 96.180 6.3795
188.964844 96.234 2.9886
189.331055 96.239 -0.2317
189.697266 96.203 -3.2566
190.063477 96.133 -6.0684
190.429688 96.035 -8.6497
190.795898 95.916 -10.9836
191.162109 95.781 -13.0581
191.528320 95.639 -14.8710
191.894531 95.497 -16.4319
192.260742 95.362 -17.7587
192.626953 95.236 -18.8729
192.993164 95.127 -19.7963
193.359375 95.037 -20.5536
193.725586 94.971 -21.1761
194.091797 94.933 -21.7046
194.458008 94.924 -22.1874
194.824219 94.944 -22.6763
195.190430 94.990 -23.2206
195.556641 95.057 -23.8611
195.922852 95.138 -24.6239
196.289062 95.224 -25.5159
196.655273 95.309 -26.5244
197.021484 95.389 -27.6228
197.387695 95.459 -28.7794
197.753906 95.520 -29.9658
198.120117 95.570 -31.1581
198.486328 95.610 -32.3345
198.852539 95.641 -33.4701
199.218750 95.665 -34.5369
199.584961 95.685 -35.5106
199.951172 95.709 -36.3820
200.317383 95.742 -37.1637
200.683594 95.790 -37.8888
201.049805 95.854 -38.5990
201.416016 95.931 -39.3290
201.782227 96.019 -40.0983
202.148438 96.115 -40.9117
202.514648 96.216 -41.7670
202.880859 96.322 -42.6613
203.247070 96.434 -43.5948
203.613281 96.550 -44.5703
203.979492 96.671 -45.5902
204.345703 96.796 -46.6581
204.711914 96.927 -47.7795
205.078125 97.062 -48.9647
205.444336 97.201 -50.2275
205.810547 97.343 -51.5840
206.176758 97.486 -53.0491
206.542969 97.626 -54.6344
206.909180 97.758 -56.3452
207.275391 97.879 -58.1794
207.641602 97.984 -60.1250
208.007812 98.067 -62.1598
208.374023 98.127 -64.2513
208.740234 98.160 -66.3611
209.106445 98.168 -68.4482
209.472656 98.153 -70.4766
209.838867 98.119 -72.4187
210.205078 98.071 -74.2595
210.571289 98.013 -75.9963
210.937500 97.949 -77.6370
211.303711 97.881 -79.1946
211.669922 97.812 -80.6831
212.036133 97.741 -82.1121
212.402344 97.666 -83.4860
212.768555 97.589 -84.8052
213.134766 97.508 -86.0686
213.500977 97.425 -87.2749
213.867188 97.339 -88.4224
214.233398 97.250 -89.5078
214.599609 97.158 -90.5260
214.965820 97.064 -91.4713
215.332031 96.968 -92.3386
215.698242 96.871 -93.1224
216.064453 96.773 -93.8129
216.430664 96.673 -94.3906
216.796875 96.575 -94.8268
217.163086 96.485 -95.0927
217.529297 96.411 -95.1758
217.895508 96.364 -95.0953
218.261719 96.354 -94.9041
218.627930 96.385 -94.6748
218.994141 96.458 -94.4796
219.360352 96.569 -94.3767
219.726562 96.715 -94.4121
220.092773 96.893 -94.6293
220.458984 97.098 -95.0734
220.825195 97.322 -95.7845
221.191406 97.557 -96.7858
221.557617 97.792 -98.0758
221.923828 98.021 -99.6359
222.290039 98.240 -101.4435
222.656250 98.445 -103.4856
223.022461 98.634 -105.7616
223.388672 98.801 -108.2740
223.754883 98.942 -111.0175
224.121094 99.049 -113.9701
224.487305 99.118 -117.0967
224.853516 99.146 -120.3610
225.219727 99.134 -123.7385
225.585938 99.082 -127.2263
225.952148 98.988 -130.8403
226.318359 98.845 -134.6024
226.684570 98.642 -138.5223
227.050781 98.363 -142.5786
227.416992 97.992 -146.7070
227.783203 97.511 -150.7965
228.149414 96.909 -154.6932
228.515625 96.178 -158.2065
228.881836 95.317 -161.1174
229.248047 94.331 -163.1816
229.614258 93.236 -164.1287
229.980469 92.056 -163.6547
230.346680 90.837 -161.4235
230.712891 89.659 -157.1184
231.079102 88.644 -150.6200
231.445312 87.943 -142.3165
231.811523 87.660 -133.2573
232.177734 87.779 -124.7327
232.543945 88.181 -117.5767
232.910156 88.731 -111.9568
233.276367 89.343 -107.6671
233.642578 89.975 -104.4468
234.008789 90.607 -102.1173
234.375000 91.224 -100.5760
234.741211 91.807 -99.7368
235.107422 92.338 -99.4803
235.473633 92.801 -99.6383
235.839844 93.190 -100.0112
236.206055 93.511 -100.3994
236.572266 93.781 -100.6404
236.938477 94.025 -100.6376
237.304688 94.268 -100.3717
237.670898 94.532 -99.8909
238.037109 94.830 -99.2797
238.403320 95.170 -98.6293
238.769531 95.554 -98.0214
239.135742 95.985 -97.5303
239.501953 96.461 -97.2322
239.868164 96.980 -97.2062
240.234375 97.534 -97.5270
240.600586 98.114 -98.2531
240.966797 98.707 -99.4207
241.333008 99.302 -101.0419
241.699219 99.886 -103.1097
242.065430 100.450 -105.6023
242.431641 100.985 -108.4860
242.797852 101.483 -111.7198
