* Measurement data measured by REW V5.20.8
* Source: ASIO hdspfire, Analog 1 (1)
* Format: 4M Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 13 juin 2022 14:04:29
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: off_0x1400_4_2 juin 13
* Smoothing: None
* Frequency Step: 0.36621094 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
130.004883 90.732 -79.2278
130.371094 90.966 -74.6138
130.737305 91.337 -70.7383
131.103516 91.781 -67.6185
131.469727 92.265 -65.0915
131.835938 92.786 -63.0314
132.202148 93.348 -61.4380
132.568359 93.949 -60.3920
132.934570 94.569 -59.9599
133.300781 95.188 -60.1373
133.666992 95.786 -60.8550
134.033203 96.353 -62.0181
134.399414 96.886 -63.5392
134.765625 97.383 -65.3519
135.131836 97.846 -67.4058
135.498047 98.272 -69.6560
135.864258 98.665 -72.0578
136.230469 99.026 -74.5675
136.596680 99.359 -77.1504
136.962891 99.671 -79.7903
137.329102 99.968 -82.4945
137.695312 100.253 -85.2906
138.061523 100.526 -88.2139
138.427734 100.781 -91.2883
138.793945 101.013 -94.5130
139.160156 101.215 -97.8583
139.526367 101.386 -101.2769
139.892578 101.528 -104.7220
140.258789 101.643 -108.1644
140.625000 101.739 -111.5998
140.991211 101.816 -115.0409
141.357422 101.876 -118.5014
141.723633 101.916 -121.9811
142.089844 101.934 -125.4626
142.456055 101.932 -128.9207
142.822266 101.910 -132.3370
143.188477 101.875 -135.7123
143.554688 101.828 -139.0632
143.920898 101.769 -142.4102
144.287109 101.694 -145.7615
144.653320 101.601 -149.1051
145.019531 101.487 -152.4126
145.385742 101.355 -155.6537
145.751953 101.206 -158.8092
146.118164 101.047 -161.8768
146.484375 100.878 -164.8649
146.850586 100.699 -167.7793
147.216797 100.510 -170.6133
147.583008 100.313 -173.3481
147.949219 100.109 -175.9656
148.315430 99.907 -178.4641
148.681641 99.710 179.1310
149.047852 99.522 176.7729
149.414062 99.339 174.4144
149.780273 99.153 172.0312
150.146484 98.958 169.6357
150.512695 98.747 167.2726
150.878906 98.520 165.0002
151.245117 98.280 162.8685
151.611328 98.034 160.9060
151.977539 97.788 159.1191
152.343750 97.545 157.5054
152.709961 97.308 156.0659
153.076172 97.080 154.8115
153.442383 96.866 153.7566
153.808594 96.671 152.9076
154.174805 96.503 152.2560
154.541016 96.370 151.7780
154.907227 96.278 151.4391
155.273438 96.231 151.1963
155.639648 96.236 150.9941
156.005859 96.294 150.7629
156.372070 96.405 150.4231
156.738281 96.564 149.8982
157.104492 96.762 149.1300
157.470703 96.989 148.0861
157.836914 97.234 146.7563
158.203125 97.489 145.1458
158.569336 97.747 143.2681
158.935547 98.000 141.1442
159.301758 98.242 138.8035
159.667969 98.469 136.2830
160.034180 98.678 133.6240
160.400391 98.869 130.8667
160.766602 99.042 128.0457
161.132812 99.199 125.1868
161.499023 99.342 122.3096
161.865234 99.472 119.4285
162.231445 99.591 116.5575
162.597656 99.702 113.7102
162.963867 99.805 110.8994
163.330078 99.905 108.1342
163.696289 100.005 105.4163
164.062500 100.109 102.7380
164.428711 100.220 100.0834
164.794922 100.339 97.4302
165.161133 100.468 94.7551
165.527344 100.604 92.0386
165.893555 100.747 89.2659
166.259766 100.894 86.4270
166.625977 101.044 83.5146
166.992188 101.194 80.5239
167.358398 101.342 77.4521
167.724609 101.486 74.3009
168.090820 101.624 71.0765
168.457031 101.754 67.7882
168.823242 101.876 64.4448
169.189453 101.989 61.0515
169.555664 102.093 57.6085
169.921875 102.188 54.1121
170.288086 102.273 50.5569
170.654297 102.345 46.9395
171.020508 102.403 43.2598
171.386719 102.442 39.5232
171.752930 102.461 35.7416
172.119141 102.457 31.9332
172.485352 102.429 28.1223
172.851562 102.375 24.3356
173.217773 102.297 20.5983
173.583984 102.196 16.9303
173.950195 102.076 13.3445
174.316406 101.938 9.8486
174.682617 101.782 6.4490
175.048828 101.612 3.1539
175.415039 101.427 -0.0261
175.781250 101.232 -3.0830
176.147461 101.029 -6.0161
176.513672 100.822 -8.8361
176.879883 100.612 -11.5615
177.246094 100.399 -14.2140
177.612305 100.183 -16.8094
177.978516 99.961 -19.3556
178.344727 99.732 -21.8530
178.710938 99.493 -24.2994
179.077148 99.245 -26.6937
179.443359 98.986 -29.0360
179.809570 98.715 -31.3268
180.175781 98.430 -33.5641
180.541992 98.130 -35.7437
180.908203 97.811 -37.8575
181.274414 97.472 -39.8945
181.640625 97.108 -41.8369
182.006836 96.717 -43.6573
182.373047 96.297 -45.3171
182.739258 95.846 -46.7673
183.105469 95.364 -47.9536
183.471680 94.854 -48.8195
183.837891 94.319 -49.3068
184.204102 93.763 -49.3503
184.570312 93.193 -48.8700
184.936523 92.618 -47.7672
185.302734 92.059 -45.9359
185.668945 91.547 -43.2974
186.035156 91.122 -39.8561
186.401367 90.832 -35.7585
186.767578 90.709 -31.3054
187.133789 90.763 -26.8859
187.500000 90.975 -22.8580
187.866211 91.307 -19.4574
188.232422 91.718 -16.7805
188.598633 92.174 -14.8237
188.964844 92.647 -13.5319
189.331055 93.118 -12.8284
189.697266 93.573 -12.6271
190.063477 94.002 -12.8384
190.429688 94.401 -13.3730
190.795898 94.767 -14.1508
191.162109 95.103 -15.1069
191.528320 95.412 -16.1956
191.894531 95.698 -17.3867
192.260742 95.962 -18.6615
192.626953 96.207 -20.0065
192.993164 96.434 -21.4105
193.359375 96.645 -22.8651
193.725586 96.842 -24.3644
194.091797 97.026 -25.9048
194.458008 97.197 -27.4832
194.824219 97.354 -29.0948
195.190430 97.500 -30.7351
195.556641 97.635 -32.4008
195.922852 97.759 -34.0933
196.289062 97.872 -35.8185
196.655273 97.973 -37.5823
197.021484 98.061 -39.3850
197.387695 98.132 -41.2170
197.753906 98.185 -43.0591
198.120117 98.218 -44.8868
198.486328 98.233 -46.6780
198.852539 98.232 -48.4174
199.218750 98.216 -50.0977
199.584961 98.187 -51.7162
199.951172 98.144 -53.2693
200.317383 98.087 -54.7478
200.683594 98.016 -56.1354
